"","Order_all","Family_all","Genus_all","Species_all","Breeding_system","Compatibility_system","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Floral_unit_width","Corolla_diameter_mean","Corolla_length_mean","Style_length","Ovule_number","life_form","lifespan","Plant_height_mean_m","Nectar_presence_absence","Nectar_ul","Pollen_per_flower","Eigenval"
"Dipsacus sylvestris","Dipsacales","Caprifoliaceae","Dipsacus","Dipsacus fullonum","Hermaphrodite","self_compatible","low",13,"Funnelform","actinomorphic",600,50,50,12.5,6,1,"herb","Short lived",1,"yes",5,121034.0071,0.0169478811114586
"Discaria toumatou","Rosales","Rhamnaceae","Discaria","Discaria toumatou","Hermaphrodite","partially_self_compatible","none",0,"Open","actinomorphic",8000,20,4,1,1,3,"shrub","Perennial",2.5,"yes",0.9289403,36197,0.00212051782111955
"Dodonaea viscosa","Sapindales","Sapindaceae","Dodonaea","Dodonaea viscosa","Dioecious","dioecious","none",0,"Open","actinomorphic",7500,50,8,4,5,3,"shrub","Perennial",2.5,"no",0,317100,0.00105699049668399
"Doratoxylon apetalum","Sapindales","Sapindaceae","Doratoxylon","Doratoxylon apetalum","Dioecious","dioecious","none",0,"Open","actinomorphic",30000,10,2.5,1,0.1,6,"tree","Perennial",7.5,"no",0,1722323.1025,0.00111829620402904
"Dorichnium pentaphylum","Fabales","Fabaceae","Dorycnium","Dorycnium pentaphyllum","Hermaphrodite","partially_self_compatible","low",14.0071633333333,"Tube","zygomorphic",2500,10,3.5,4.5,4,33,"herb","Perennial",0.3,"no",0,8220.47,0.00307436549986837
"Dracaena reflexa","Asparagales","Asparagaceae","Dracaena","Dracaena reflexa","Hermaphrodite","self_compatible","low",12.5884166666667,"Tube","actinomorphic",1000,300,43.5108,30,14,4.5,"tree","Perennial",1.5,"yes",1.31,211154.9495,0.000253336353796934
"Dryas integrifolia","Rosales","Rosaceae","Dryas","Dryas integrifolia","Hermaphrodite","self_compatible","low",15.7022071428571,"Open","actinomorphic",50,25,25,9,4,30,"shrub","Perennial",0.1,"yes",4.08746181666667,192164,0.00228140182058903
"Brauneria pallida","Asterales","Asteraceae","Echinacea","Echinacea pallida","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",1,57,57,69,9,65.5,"herb","Perennial",0.6,"yes",0.1366,24131,0.195119675250142
"Brauneria purpurea","Asterales","Asteraceae","Echinacea","Echinacea purpurea","Hermaphrodite","partially_self_compatible","low",13,"Capitulum","zygomorphic",1,14,14,55,4.5,65.5,"herb","Perennial",0.9,"yes",5.54089514285714,10414,0.253368129027397
"Echium plantagineum","Boraginales","Boraginaceae","Echium","Echium plantagineum","Hermaphrodite","self_incompatible","low",0,"Tube","zygomorphic",30,100,23.1,25,35,4,"herb","Perennial",0.8,"yes",5.511775,382229,0.00973294947026822
"Equium sabulicola","Boraginales","Boraginaceae","Echium","Echium sabulicola","Hermaphrodite","self_compatible","low",18.787375,"Tube","zygomorphic",100,6,6,17,20,4,"herb","Short lived",0.75,"yes",1.54,106170.674666667,0.00963103972850721
"Elaeagnus_angustifolia","Rosales","Elaeagnaceae","Elaeagnus","Elaeagnus angustifolia","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",25000,30,9.9,7.5,7.5,1,"tree","Perennial",3,"yes",1.742735,14693,0.00208997659096334
"Aetheorrina bulbosa","Asparagales","Iridaceae","Eleutherine","Eleutherine bulbosa","Hermaphrodite","self_compatible","medium",31.66,"Open","actinomorphic",10,20,20,5,6,15,"herb","Perennial",0.45,"no",0,93972.2914409524,0.000206281319522846
"Ellisia nyctelaea","Boraginales","Boraginaceae","Ellisia","Ellisia nyctelea","Hermaphrodite","self_compatible","low",22.3156,"Tube","actinomorphic",5,5,5,6.1,3,4,"herb","Short lived",0.2,"yes",1.66841,5882,0.00923305896366567
"Embelia angustifolia","Ericales","Primulaceae","Embelia","Embelia angustifolia","Hermaphrodite","self_compatible","low",8.588275,"Open","actinomorphic",2000,50,4,2,1,1,"shrub","Perennial",2.4568,"no",0,47500,0.00521335247966319
"Empetrum nigrum","Ericales","Ericaceae","Empetrum","Empetrum nigrum","Dioecious","dioecious","none",0,"Open","actinomorphic",500,12,2,3,0.3,4.5,"shrub","Perennial",0.2,"no",0,347611.046,0.00617445676998043
"Isopyrum biternatum","Ranunculales","Ranunculaceae","Enemion","Enemion biternatum","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",80,15.5,15.5,1.5,2,24,"herb","Perennial",0.25,"no",0,172465.366807143,0.000343005946574218
"Epacris microphylla","Ericales","Ericaceae","Epacris","Epacris microphylla","Hermaphrodite","partially_self_compatible","low",13.2795,"Open","actinomorphic",1500,25,7.5,2.75,0.8,77.5,"shrub","Perennial",0.75,"yes",1.5884203,8137.5,0.00576203348706813
"Chamaenerium angustifolium","Myrtales","Onagraceae","Epilobium","Epilobium angustifolium","Hermaphrodite","self_compatible","low",13,"Open","zygomorphic",40,105,35,5,15,593,"herb","Perennial",0.3,"yes",0.5,18526,0.000765275263504421
"Epilobium hirsutum","Myrtales","Onagraceae","Epilobium","Epilobium hirsutum","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",40,20,20,10,8,593,"herb","Perennial",1.375,"yes",2.7602675,20755,0.000765275263504426
"Epilobium latifolium","Myrtales","Onagraceae","Epilobium","Epilobium latifolium","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",15,135,45,7.5,6,593,"herb","Perennial",1.56,"yes",10,3173405.5225,0.000764414911612967
"Erica ciliaris","Ericales","Ericaceae","Erica","Erica ciliaris","Hermaphrodite","self_compatible","low",1,"Tube","actinomorphic",50,16,3.1,8,8.5,120,"shrub","Perennial",0.6,"yes",2.25709,35000,0.00617445676998048
"Erica scoparia","Ericales","Ericaceae","Erica","Erica scoparia","Hermaphrodite","partially_self_compatible","medium",31,"Campanulate","actinomorphic",2500,10,2.2,2.4,1.45,12.5,"shrub","Perennial",2.1,"no",0,92000,0.00617445676998052
"Erica tetralix","Ericales","Ericaceae","Erica","Erica tetralix","Hermaphrodite","partially_self_compatible","low",10,"Campanulate","actinomorphic",15,3.5,3.5,6.3,3.5,100,"herb","Perennial",1,"yes",0,13700,0.00617445676998051
"Erica umbellata","Ericales","Ericaceae","Erica","Erica umbellata","Hermaphrodite","partially_self_compatible","low",10,"Campanulate","actinomorphic",1000,13.5,4.4,4.8,5,77.5,"shrub","Perennial",0.6,"yes",0,5481,0.00618802884433329
"Eriobotrya japonica","Rosales","Rosaceae","Eriobotrya","Eriobotrya japonica","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",4000,50,9.1,5,3.25,10,"tree","Perennial",6.75,"yes",30.71,8580,0.00216852195448179
"Erodium_cicatarium","Geraniales","Geraniaceae","Erodium","Erodium cicutarium","Hermaphrodite","self_compatible","high",82.8,"Open","actinomorphic",5,25,10,3.5,1,5,"herb","Short lived",0.45,"yes",2.37788515,385,0.000724962900619519
"Astragalus lusitanicus","Fabales","Fabaceae","Erophaca","Erophaca baetica","Monoecious","self_compatible","low",11.73165,"Papilionaceous","zygomorphic",300,90,30,14.1,14,9.6,"herb","Perennial",0.5,"yes",2.52438015,306300,0.00313940985597553
"Eryngium campestre","Apiales","Apiaceae","Eryngium","Eryngium campestre","Hermaphrodite","partially_self_compatible","none",0,"Tube","actinomorphic",20,10,1.5,2.5,5,2,"herb","Perennial",0.3,"yes",0.004,25482,0.0179743073871432
"Erysimum pallasii","Brassicales","Brassicaceae","Erysimum","Erysimum redowskii","Hermaphrodite","self_compatible","high",100,"Tube","actinomorphic",40,30,6,6,11.5,34.7,"herb","Short lived",0.16,"yes",6.5,67795.0397866667,0.0014245718741565
"Erythronium albidum","Liliales","Liliaceae","Erythronium","Erythronium albidum","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",1,25,25,24.1,19.1,34.7,"herb","Perennial",0.15,"no",0,18884,0.000136807068872604
"Erythrospermum monticolum","Malpighiales","Achariaceae","Erythrospermum","Erythrospermum monticolum","Hermaphrodite","partially_self_compatible","low",8.013425,"Open","actinomorphic",3413.175,30,5.0713,2.76909166666667,1,4,"tree","Perennial",4.5,"no",0,154737.709583333,0.00175896839437304
"Erythroxylum macrocarpum","Malpighiales","Erythroxylaceae","Erythroxylum","Erythroxylum macrocarpum","Hermaphrodite","self_compatible","low",5,"Open","actinomorphic",100,30,6.5,4.60328333333334,1.4,3,"shrub","Perennial",4,"yes",10,19838,0.0017088996921514
"Erythroxylum sechellarum","Malpighiales","Erythroxylaceae","Erythroxylum","Erythroxylum sechellarum","Hermaphrodite","self_compatible","low",5,"Open","actinomorphic",100,30,6.933625,3.2,1.4,3,"shrub","Perennial",7.5,"yes",10,19838,0.00171086012898841
"Monimiastrum globosum","Myrtales","Myrtaceae","Eugenia","Eugenia kanakana","Hermaphrodite","partially_self_compatible","low",7.08906666666667,"Brush","actinomorphic",200,40,13.26475,7.30246666666667,3.5,30,"shrub","Perennial",4.5,"no",0,850650,0.000917530512736127
"Eugenia orbiculata","Myrtales","Myrtaceae","Eugenia","Eugenia orbiculata","Hermaphrodite","partially_self_compatible","low",6.50744166666667,"Open","actinomorphic",200,40,10,6.86041666666666,3.5,40,"tree","Perennial",4.5,"no",0,1134200,0.00093028574914223
"Eupatorium altissimum","Asterales","Asteraceae","Eupatorium","Eupatorium altissimum","Hermaphrodite","self_incompatible","low",13,"Capitulum","actinomorphic",150,35,7.1,4,10,5,"herb","Perennial",0.75,"yes",0.3,157851.671833333,0.411896124089289
"Eupatorium chinense","Asterales","Asteraceae","Eupatorium","Eupatorium chinense","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",250,140,2.1,5,10,5,"shrub","Perennial",1,"yes",0.3,298242.325004762,0.493497111881045
"Eupatorium perfoliatum","Asterales","Asteraceae","Eupatorium","Eupatorium perfoliatum","Hermaphrodite","partially_self_compatible","low",13,"Capitulum","actinomorphic",500,250,12,4.1,10,16,"herb","Short lived",0.7,"yes",0.3,127298.966155,0.758406994989092
"Eupatorium purpureum","Asterales","Asteraceae","Eupatorium","Eupatorium purpureum","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",1000,120,30.12,5.5,11.5,5.5,"herb","Perennial",1.35,"yes",0.3,422459.935821429,0.324378243678783
"Eupatorium serotinum","Asterales","Asteraceae","Eupatorium","Eupatorium serotinum","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",500,300,30,2.75,10,11.5,"herb","Perennial",1,"yes",0.3,392860.900404762,0.36691222497846
"Euphorbia corollata","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia corollata","Monoecious","monoecious","none",0,"Open","actinomorphic",90,80,6,2,1.1,3,"herb","Perennial",0.6,"yes",0.048,7013,0.00168488446805863
"Euphorbia cyathophora","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia cyathophora","Monoecious","monoecious","none",0,"Open","actinomorphic",10,20,2,2,1.6,3,"herb","Short lived",0.6,"yes",0.048,7013,0.00167787308365207
"Euphorbia preslii","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia nutans","Monoecious","monoecious","none",0,"Open","actinomorphic",200,20,5.7,3.9,1.55,3,"herb","Short lived",0.5,"yes",0.048,7013,0.00169282081950499
"Euphorbia pyrifolia","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia pyrifolia","Dioecious","dioecious","none",0,"Open","actinomorphic",75,60,12.306275,2.25,2,3,"shrub","Perennial",6.5,"yes",0.048,7013,0.00157102342254448
"Euphorbea segatalis","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia segetalis","Monoecious","self_compatible","low",13,"Open","actinomorphic",75,8,2,3,3,3,"herb","Short lived",0.35,"yes",0.07,7013,0.00164021022985359
"Euphrasia regelii","Lamiales","Orobanchaceae","Euphrasia","Euphrasia regelii","Hermaphrodite","self_compatible","medium",60,"Tube","zygomorphic",5,20,6,7.5,5,39,"herb","Short lived",0.19,"yes",3.53173,2005,0.0122953036596007
"Euphrasia zelandica","Lamiales","Orobanchaceae","Euphrasia","Euphrasia zelandica","Hermaphrodite","self_compatible","medium",60,"Tube","zygomorphic",5,75,13.5,9,5,24,"herb","Short lived",0.05,"yes",3.610065,2733,0.0120570534347841
"Euptelea polyandra","Ranunculales","Eupteleaceae","Euptelea","Euptelea polyandra","Hermaphrodite","partially_self_compatible","medium",50.5,"Brush","actinomorphic",750,15,2.5,2.5,10,4,"tree","Perennial",10,"no",0,522054.979065,0.00028842585982922
"Meriana sclerophylla","Solanales","Convolvulaceae","Evolvulus","Evolvulus pusillus","Hermaphrodite","self_compatible","none",0,"Tube","actinomorphic",50,10.5,10.5,3,1.5,4,"herb","Perennial",0.4,"no",0,4909,0.00620316485317711
"Faujasiopsis flexuosa","Asterales","Asteraceae","Faujasiopsis","Faujasiopsis flexuosa","Hermaphrodite","partially_self_compatible","low",9.998875,"Capitulum","actinomorphic",70,50,3.3,7.09715,6,40,"shrub","Perennial",1.5,"no",0,242933.81531,0.0569036117471955
"Filipendula ulmaria","Rosales","Rosaceae","Filipendula","Filipendula ulmaria","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",600,150,6.5,0.5,1.25,2,"herb","Perennial",0.85,"no",0,72395.397,0.00229418366638413
"Flagellaria indica","Poales","Flagellariaceae","Flagellaria","Flagellaria indica","Hermaphrodite","self_compatible","low",9.26529999999999,"Campanulate","actinomorphic",150,50,2.5,2.1,1,3,"vine","Perennial",7.5,"no",0,148263.670583333,0.000191846534292922
"Fragaria virginiana illinoensis","Rosales","Rosaceae","Fragaria","Fragaria virginiana","Dioecious","self_compatible","low",14.47715,"Open","actinomorphic",5,15.5,15.5,1.4,1,100,"herb","Perennial",0.9,"yes",2.75275545,442000,0.00254844578693751
"Fraxinus americanus","Lamiales","Oleaceae","Fraxinus","Fraxinus americana","Dioecious","dioecious","none",0,"Open","actinomorphic",18242.2008333333,40,3,10,1,4,"tree","Perennial",22.5,"no",0,2052,0.0101909484275757
"Gaertnera petrinensis","Gentianales","Rubiaceae","Gaertnera","Gaertnera petrinensis","Hermaphrodite","self_incompatible","low",10.03485,"Tube","actinomorphic",500,50,10,15,7.5,2,"shrub","Perennial",1.25,"yes",1.1,847.75,0.00828991247785123
"Gaertnera psychotrioides/edentata","Gentianales","Rubiaceae","Gaertnera","Gaertnera psychotrioides","Hermaphrodite","self_incompatible","low",13,"Tube","actinomorphic",500,50,10,12.5,12.5,2,"tree","Perennial",6.3,"yes",1,847.75,0.00818697085930226
"Gaertnera rotundifolia","Gentianales","Rubiaceae","Gaertnera","Gaertnera rotundifolia","Hermaphrodite","self_incompatible","low",13,"Tube","actinomorphic",500,50,2.5,20,15.25,2,"shrub","Perennial",3.5,"yes",1.6,847.75,0.00803907113607264
"Galactites tomentosa","Asterales","Asteraceae","Galactites","Galactites tomentosus","Hermaphrodite","self_compatible","low",19.623775,"Capitulum","actinomorphic",3,60,60,16.5,10,30,"herb","Short lived",0.275,"yes",0.06,143762.463155,0.0296115306003591
"Galium aperine","Gentianales","Rubiaceae","Galium","Galium aparine","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",35,12,1.5,1,0.45,2,"herb","Short lived",1,"yes",0.8840825,666,0.00875360920000782
"Gastonia crassa","Apiales","Araliaceae","Gastonia","Gastonia crassa","Hermaphrodite","monoecious","low",7.0956,"Campanulate","actinomorphic",80,125,6.5,17,1,7,"shrub","Perennial",5,"yes",13.4,2218142.86033333,0.0177355908267175
"Gaylussacia baccata","Ericales","Ericaceae","Gaylussacia","Gaylussacia baccata","Hermaphrodite","partially_self_compatible","low",10,"Tube","actinomorphic",2000,120,4,7,5.05,10,"shrub","Perennial",0.6,"yes",1.26,75602.5817,0.00606922112983572
"Geniostoma borbonicum","Gentianales","Loganiaceae","Geniostoma","Geniostoma borbonicum","Hermaphrodite","partially_self_compatible","low",8.456875,"Campanulate","actinomorphic",500,60,8,4.75,1.15,65,"tree","Perennial",8.5,"no",0,306573.6972,0.00706100975841589
"Genista anglica","Fabales","Fabaceae","Genista","Genista anglica","Hermaphrodite","self_incompatible","none",0,"Papilionaceous","zygomorphic",1000,25,8,12.5,6.5,17.9,"shrub","Perennial",0.38,"no",0,20383,0.00279523154375464
"Genista hirsuta","Fabales","Fabaceae","Genista","Genista hirsuta","Hermaphrodite","self_incompatible","none",0,"Papilionaceous","zygomorphic",3000,25,1.7,8.5,9.1,6.47,"shrub","Perennial",0.9,"no",0,13653,0.00277626953197113
"Genista pilosa","Fabales","Fabaceae","Genista","Genista pilosa","Hermaphrodite","self_incompatible","none",0,"Papilionaceous","zygomorphic",500,20,7,10,6.5,13,"shrub","Perennial",0.6,"no",0,13653,0.00281932928115374
"Gentiana andrewsii","Gentianales","Gentianaceae","Gentiana","Gentiana andrewsii","Hermaphrodite","self_compatible","low",4,"Tube","actinomorphic",10,100,18.75,37.5,15,150,"herb","Perennial",0.6,"yes",5.261257,19836,0.0070713976309381
"Gentiana corymbifera","Gentianales","Gentianaceae","Gentianella","Gentianella corymbifera","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",30,100,16,10,15,52,"herb","Short lived",0.23,"yes",0.7,38667,0.00719235946496477
"Gentianella diemensis","Gentianales","Gentianaceae","Gentianella","Gentianella diemensis","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",5,100,18,10,15,85,"herb","Short lived",0.26,"yes",0.7,38667,0.00706975036227549
"Gentiana montana","Gentianales","Gentianaceae","Gentianella","Gentianella montana","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",6,100,15.15,15.25,15,66,"herb","Short lived",3.6,"yes",0.7,38667,0.0070564206319743
"Geoffroea spinosa","Fabales","Fabaceae","Geoffroea","Geoffroea spinosa","Hermaphrodite","self_compatible","none",0,"Papilionaceous","zygomorphic",15000,75,9.1,15,15,2,"tree","Perennial",6,"yes",2.8758078125,1066,0.00272861212177276
"Geranium maculatum","Geraniales","Geraniaceae","Geranium","Geranium maculatum","Dioecious","partially_self_compatible","low",13,"Open","actinomorphic",10,25.1,25.1,13,5,10,"herb","Perennial",0.5,"yes",5.274865,10620,0.000728262806539706
"Geranium robertianum","Geraniales","Geraniaceae","Geranium","Geranium robertianum","Hermaphrodite","self_compatible","high",88,"Campanulate","actinomorphic",10,17.5,17.5,10.5,20,10,"herb","Short lived",0.3,"yes",6.73851,1170,0.000725605763239666
"Geranium sibiricum","Geraniales","Geraniaceae","Geranium","Geranium sibiricum","Hermaphrodite","self_compatible","low",20.31585,"Open","actinomorphic",10,12.5,12.5,6.25,5,10,"herb","Perennial",0.35,"yes",2.427715,665,0.000739017784604313
"Glechoma hederacea","Lamiales","Lamiaceae","Glechoma","Glechoma hederacea","Dioecious","self_compatible","none",0,"Tube","zygomorphic",10,25,8,12.5,7,4,"herb","Perennial",0.11,"yes",0.3,574.4,0.0156189460235183
"Glochidion acuminatum","Malpighiales","Phyllanthaceae","Glochidion","Glochidion acuminatum","Monoecious","monoecious","none",0,"Tube","actinomorphic",500,10,1.5,3,1.25,8,"shrub","Perennial",5.5,"no",0,4336,0.00171491950995327
"Glochidion obovatum","Malpighiales","Phyllanthaceae","Glochidion","Glochidion obovatum","Monoecious","monoecious","none",0,"Open","actinomorphic",500,5,1.75,1.75,1.25,9.5,"shrub","Perennial",0.75,"no",0,4336,0.00174592730689958
"Glochidion zeylanicum","Malpighiales","Phyllanthaceae","Glochidion","Glochidion zeylanicum","Monoecious","monoecious","none",0,"Open","actinomorphic",500,20,4,2,3.5,11,"shrub","Perennial",3.5,"no",0,4336,0.00174592730689962
"Gossypium barbadense","Malvales","Malvaceae","Gossypium","Gossypium barbadense","Hermaphrodite","self_compatible","high",75,"Open","actinomorphic",30,10.3,10.3,25,3.2,50,"shrub","Perennial",2,"yes",7.7131975,35000,0.00133025319941421
"Gossypium darwinii","Malvales","Malvaceae","Gossypium","Gossypium darwinii","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",150,70,70,36,25,32.5,"shrub","Perennial",1.1,"yes",4.064685,35000,0.00133568398635247
"Grangeria borbonica","Malpighiales","Chrysobalanaceae","Grangeria","Grangeria borbonica","Hermaphrodite","self_compatible","low",7.2483,"Open","actinomorphic",100,60,16,5,3.5,2,"tree","Perennial",6,"no",0,250808.67225,0.00169335440016335
"Halenia elliptica","Gentianales","Gentianaceae","Halenia","Halenia elliptica","Hermaphrodite","self_compatible","high",100,"Campanulate","actinomorphic",10,24,8,17.5,4,14.5,"herb","Short lived",0.4,"yes",1.1,6908,0.00726253354580754
"Halimium commutatum","Malvales","Cistaceae","Halimium","Halimium commutatum","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",100,19.1,19.1,4,0.5,7,"shrub","Perennial",1.5,"no",0,24849,0.00123774303204446
"Halimium halimifolium","Malvales","Cistaceae","Halimium","Halimium halimifolium","Hermaphrodite","self_incompatible","none",1,"Open","actinomorphic",50,28,28,3,1,46,"shrub","Perennial",1,"no",0,44051,0.00119097680534187
"Cordemoya integrifolia","Malpighiales","Euphorbiaceae","Hancea","Hancea integrifolia","Monoecious","monoecious","none",0,"Brush","actinomorphic",12636.9095833333,30,10,5,11,3,"tree","Perennial",7.5,"no",0,536335.854,0.00157102342254448
"Harrisia balansae","Caryophyllales","Cactaceae","Harrisia","Harrisia balansae","Hermaphrodite","partially_self_compatible","none",0,"Tube","actinomorphic",10,120,120,175,138,5022,"shrub","Perennial",2.2,"yes",0.2,2550000,0.00455699658237024
"Harungana madagascariensis","Malpighiales","Hypericaceae","Harungana","Harungana madagascariensis","Hermaphrodite","partially_self_compatible","low",10.0221,"Open","actinomorphic",18000,5.5,5.5,3.32479166666667,1.5,5,"tree","Perennial",12.5,"no",0,172450.5,0.00202876916714804
"Heliamphora heterodoxa","Ericales","Sarraceniaceae","Heliamphora","Heliamphora heterodoxa","Hermaphrodite","self_compatible","low",12.5738,"Open","actinomorphic",2,30,24.40835,11.10415,10,403.3161,"herb","Perennial",0.744,"no",0,613350.456064102,0.00565498418189726
"Helianthus annuus","Asterales","Asteraceae","Helianthus","Helianthus annuus","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",1,26,26,3.1,10,1700,"herb","Short lived",1.5,"yes",0.81,42500,0.278412742890108
"Helianthus divaricatus","Asterales","Asteraceae","Helianthus","Helianthus divaricatus","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",1,57,57,6,7,50,"herb","Perennial",0.85,"yes",0.06,42500,0.302224638926261
"Helichrysum proteoides","Asterales","Asteraceae","Helichrysum","Helichrysum proteoides","Hermaphrodite","self_compatible","low",20.11265,"Capitulum","actinomorphic",5,80,10,10,2,30,"herb","Short lived",0.25,"no",0,62250,0.102987970518107
"Helichrisum stoechas","Asterales","Asteraceae","Helichrysum","Helichrysum stoechas","Hermaphrodite","self_compatible","low",17.96385,"Capitulum","actinomorphic",500,10,10,10,0.25,30,"herb","Perennial",0.35,"no",0,62250,0.119593199670323
"Heracleum candicans","Apiales","Apiaceae","Heracleum","Heracleum candicans","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",450,70,12,3,1,2,"herb","Perennial",1.7,"no",0,54834.16225,0.019626719894407
"Heteropterys glabra","Malpighiales","Malpighiaceae","Heteropterys","Heteropterys glabra","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",300,100,30,5,5,3,"shrub","Perennial",1.5,"no",0,125015.274961111,0.00192835314830195
"Hibiscus tiliaceus","Malvales","Malvaceae","Hibiscus","Hibiscus tiliaceus","Hermaphrodite","self_compatible","low",12.2028083333333,"Open","actinomorphic",75,140,140,50,45,50,"tree","Perennial",5,"yes",0.25,17888741.3441667,0.00127954039064476
"Hibiscus trionum","Malvales","Malvaceae","Hibiscus","Hibiscus trionum","Hermaphrodite","self_compatible","medium",50.5,"Open","actinomorphic",15,40,40,4.01,6.6,50,"herb","Short lived",1,"yes",4.7,104056.070655,0.00129889015687694
"Homalanthus populifolius","Malpighiales","Euphorbiaceae","Homalanthus","Homalanthus populifolius","Monoecious","monoecious","none",0,"Open","actinomorphic",1000,25,4,1,0.625,3,"tree","Perennial",6,"no",0,94220.3593333333,0.00161297128893671
"Hybanthus concolor","Malpighiales","Violaceae","Hybanthus","Hybanthus concolor","Hermaphrodite","self_compatible","low",15.5609166666667,"Open","actinomorphic",10,25,6,6,0.5,100,"herb","Perennial",0.675,"no",0,131262.834393333,0.0017616766486564
"Hydrangea hirta","Cornales","Hydrangeaceae","Hydrangea","Hydrangea hirta","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",350,25,4.1,1,1,65,"shrub","Perennial",0.5,"no",0,172390.765016667,0.00474309779683997
"Hydrangea macrophylla","Cornales","Hydrangeaceae","Hydrangea","Hydrangea macrophylla","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",75,25,6,1,2.35,65,"shrub","Perennial",1,"no",0,194443.387366667,0.00472701811608873
"Hypericum ascyron","Malpighiales","Hypericaceae","Hypericum","Hypericum ascyron","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",20,60,18.2,6.13216547619048,8.75,75,"herb","Perennial",1.1,"no",0,44362,0.0020336474926389
"Hypericum cistifolium","Malpighiales","Hypericaceae","Hypericum","Hypericum cistifolium","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",30,40,11,1,1.5,75,"shrub","Perennial",0.5,"no",0,44362,0.00203347875048626
"Hypericum perfolatum","Malpighiales","Hypericaceae","Hypericum","Hypericum perfolatum","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",50,80,17.5,2.1,4.85,75,"herb","Perennial",0.5,"no",0,44362,0.00175303808491025
"Hypericum perforatum","Malpighiales","Hypericaceae","Hypericum","Hypericum perforatum","Hermaphrodite","self_compatible","high",100,"Open","actinomorphic",50,80,17.5,2.1,4.85,75,"shrub","Perennial",0.6,"no",0,44362,0.00203919372896392
"Hypericum pseudopetiolatum","Malpighiales","Hypericaceae","Hypericum","Hypericum pseudopetiolatum","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",10,10.5,10.5,1,1.6,75,"herb","Perennial",0.375,"no",0,44362,0.00204829902893831
"Hypericum punctatum","Malpighiales","Hypericaceae","Hypericum","Hypericum punctatum","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",30,80,13,1.5,3,75,"herb","Perennial",0.4,"no",0,44362,0.00205170494935768
"Hypoxis hirsuta","Asparagales","Hypoxidaceae","Hypoxis","Hypoxis hirsuta","Hermaphrodite","self_incompatible","low",4,"Open","actinomorphic",15,18.5,18.5,1.5,2,12,"herb","Perennial",0.05,"no",0,209688.589,0.000201526430955677
"Hyptis conferta","Lamiales","Lamiaceae","Hyptis","Hyptis conferta","Hermaphrodite","partially_self_compatible","low",2,"Tube","zygomorphic",2000,20,6.6681,7.44793333333333,3.85,4,"herb","Perennial",0.5,"yes",1.07509833333333,2430,0.0149484830418585
"Hysterionica_jassionoide","Asterales","Asteraceae","Hysterionica","Hysterionica jasionoides","Hermaphrodite","self_compatible","low",21.4959666666667,"Capitulum","actinomorphic",15,23,23,8.223625,0.5,200,"herb","Short lived",0.225,"yes",3.26121999999999,520000,0.0756887367943843
"Impatiens biflora","Ericales","Balsaminaceae","Impatiens","Impatiens capensis","Hermaphrodite","self_compatible","low",18.4668,"Campanulate","zygomorphic",10,34,34,25,1,137.5,"herb","Short lived",1.05,"yes",2.8,725900,0.00482472665522453
"Impatiens chungtienensis","Ericales","Balsaminaceae","Impatiens","Impatiens chungtienensis","Hermaphrodite","self_compatible","medium",53.81365,"Campanulate","zygomorphic",10,10.5,10.5,15,0.1,94,"herb","Short lived",0.525,"yes",7.11,725900,0.00487579580380741
