sp,GenT,H,La,GrowSSD,RepSSD,S,R,Kingdom,Sessi
Mammillaria napina,74.74305129,1.742905645,4.94059833,0.002897949,0.028234196,2.101418159,Terrestrial,Plantae,Sessile
Mammillaria pectinifera,5.559865836,0.800302112,4.382086708,0.199972801,0.841083234,16.13134385,Terrestrial,Plantae,Sessile
Mammillaria supertexta,9.142213734,1.065135937,6.504504505,0.061446264,0.061389941,1.119346117,Terrestrial,Plantae,Sessile
Manilkara zapota,98.20086132,1.477857518,52.90855879,0.035904211,0.032047597,1.157525237,Terrestrial,Plantae,Sessile
Marmota flaviventris,4.210145972,NA,2,0.098791502,0.033047288,0.434884753,Terrestrial,Animalia,Mobile
Mauritia flexuosa,30.63415913,1.706546873,24.33145654,0.007297037,0.067776198,1.303685581,Terrestrial,Plantae,Sessile
Melaleuca viridiflora,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Melampyrum pratense,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Melocactus bahiensis,19.83278601,1.136368696,8.466364845,0.018286722,0.131043335,0.393907113,Terrestrial,Plantae,Sessile
Melocactus ernestii,34.92515082,1.384331355,12.08965856,0.034017872,0.12246165,0.816477447,Terrestrial,Plantae,Sessile
Mesocentrotus franciscanus,NA,NA,NA,NA,NA,NA,Aquatic,Animalia,Sessile
Miconia albicans,29.54972466,1.842285543,7.80713448,0.001887036,0.070891601,10.54704362,Terrestrial,Plantae,Sessile
Miconia prasina,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Microberlinia bisulcata,99.44736512,2.572861054,74.28439218,0.135800274,0.135072075,3.383855713,Terrestrial,Plantae,Sessile
Microtus oeconomus,43.82588165,0.02276745,3,0.333333333,0.009500672,0.050458847,Terrestrial,Animalia,Mobile
Milvus migrans,5.56255679,1.06820057,1,0.083333333,0.034176174,1.11946874,Terrestrial,Animalia,Mobile
Minuartia obtusiloba,NA,NA,3,NA,NA,NA,Terrestrial,Plantae,Sessile
Mirounga angustirostris,10.84265413,NA,6,0.066600862,0.015459593,0.139670251,Aquatic,Animalia,Mobile
Mirounga leonina,11.58585118,0.541811683,6,0.166666667,0.027734901,0.047567227,Aquatic,Animalia,Mobile
Molinia caerulea,22.50006273,1.156560456,4.098224117,0.122891763,0.108797762,0.155137649,Terrestrial,Plantae,Sessile
Orbicella annularis,NA,NA,NA,NA,NA,NA,Aquatic,Animalia,Sessile
Murdannia nudiflora,5.705982698,0.013787487,3,1.204132404,0.513435699,2.433453703,Terrestrial,Plantae,Sessile
Murdannia simplex,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Mustela erminea,1.699491007,0.356958701,1,0.333333333,0.311010673,0.390319733,Terrestrial,Animalia,Mobile
Mya arenaria,5.738786144,0.96859473,2,0.125,0.262977804,1.81933596,Aquatic,Animalia,Sessile
Myosotis ramosissima,NA,NA,1,NA,NA,NA,Terrestrial,Plantae,Sessile
Mytilus californianus,6.058391308,0.049924243,2.007455168,0.143021335,0.141487162,0.461641928,Aquatic,Animalia,Sessile
Mytilus galloprovincialis,NA,NA,2.004722194,NA,NA,NA,Aquatic,Animalia,Sessile
Narcissus poeticus,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Nardostachys jatamansi,11.91104277,0.504635419,2.658215518,0.104802509,0.048063448,0.806048687,Terrestrial,Plantae,Sessile
Neobuxbaumia macrocephala,62.89306749,1.613786549,36.94135502,0.0733149,0.070596569,1.371905135,Terrestrial,Plantae,Sessile
Neobuxbaumia mezcalaensis,57.48217391,1.877540885,48.12559352,0.075868292,0.0794776,0.124431989,Terrestrial,Plantae,Sessile
Neobuxbaumia polylopha,76.92555378,1.606290145,16.5580114,0.000510187,0.094724498,11.86753764,Terrestrial,Plantae,Sessile
Neobuxbaumia tetetzo,118.5036791,2.550013411,72.96087244,0.009738584,0.009667923,0.669741029,Terrestrial,Plantae,Sessile
Neotinea ustulata,0.333333333,0.17859432,4.47947112,0.110298607,0.064506615,0.433332085,Terrestrial,Plantae,Sessile
Nipponia nippon,NA,NA,NA,NA,NA,NA,Terrestrial,Animalia,Mobile
Nocomis leptocephalus,2.013669658,0.011559913,2,0.333333333,2.258536232,0.152022872,Aquatic,Animalia,Mobile
Notropis photogenis,1.052293311,0.01566025,3,851.1158081,0.091286178,0.578640714,Aquatic,Animalia,Mobile
Nuttallia obscurata,10.32392025,0.886319993,2.020408163,0.115879201,0.038368607,0.285872859,Aquatic,Animalia,Sessile
Odocoileus virginianus,7.094736906,0.291587408,2,0.333333333,0.110287207,0.191905215,Terrestrial,Animalia,Mobile
Oenothera deltoides,NA,NA,2,NA,NA,NA,Terrestrial,Plantae,Sessile
Olearia flocktoniae,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Oligocottus maculosus,NA,NA,NA,NA,NA,NA,Aquatic,Animalia,Mobile
Oncidium poikilostalix,8.922164966,0.476067845,2.919799624,0.199175226,0.085346638,0.735041847,Terrestrial,Plantae,Sessile
Oncorhynchus tshawytscha,4.771544284,NA,3,0.194481769,0.151163566,0.078107773,Aquatic,Animalia,Mobile
Onychogalea fraenata,6.485520915,0.387342249,4,0.25,0.126053017,0.026922381,Terrestrial,Animalia,Mobile
Opuntia macrocentra,651.063648,0.897749915,6.263157895,0.009867291,0.089142269,22.46214387,Terrestrial,Plantae,Sessile
Opuntia macrorhiza,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Opuntia microdasys,NA,1.59088017,4.75,NA,NA,NA,Terrestrial,Plantae,Sessile
Opuntia rastrera,NA,1.079806926,1,NA,NA,16.65762686,Terrestrial,Plantae,Sessile
Orchis purpurea,31.5663959,0.074269819,5.98329841,0.165649548,0.167559538,11.19979842,Terrestrial,Plantae,Sessile
Orcinus orca,28.72058859,0.895886696,8.900325588,0.034074534,0.005728179,1.333963145,Aquatic,Animalia,Mobile
Oreamnos americanus,NA,NA,NA,NA,NA,NA,Terrestrial,Animalia,Mobile
Ovis aries,8.035845234,0.381886046,3,0.112712984,0.061157075,0.144196108,Terrestrial,Animalia,Mobile
Ovis canadensis,NA,NA,NA,NA,NA,NA,Terrestrial,Animalia,Mobile
Oxalis acetosella,10.64600887,0.567467845,3.660871116,0.164488999,0.02316976,0.102678371,Terrestrial,Plantae,Sessile
Oxandra asbeckii,97.94295878,0.019500178,1,0.040162812,0.0078,2.730822954,Terrestrial,Plantae,Sessile
Oxytropis jabalambrensis,3.002648819,0.43883418,2.16813555,0.202201852,0.318524219,0.113024244,Terrestrial,Plantae,Sessile
Pachycereus pecten-aboriginum,107.575755,0.015264497,115.2190209,0.008819034,0.011493323,2.460739754,Terrestrial,Plantae,Sessile
Pagurus longicarpus,3.118316139,0.629950185,2.396648045,0.177677587,0.173061147,0.671371644,Aquatic,Animalia,Sessile
Palaemonetes pugio,22.04362444,0.658976946,3.265822785,0.140795095,0.101310954,0.471983405,Aquatic,Animalia,Sessile
Paliurus ramosissimus,1.236708766,0.959911635,1,0.153605359,0.627428167,0.472106472,Terrestrial,Plantae,Sessile
Panax quinquefolius,15.56295102,0.733601435,3.281600162,0.075021037,0.038740446,0.044249611,Terrestrial,Plantae,Sessile
Papio cynocephalus,21.85968833,0.319461459,7,0.125,0.014731391,0.05774394,Terrestrial,Animalia,Mobile
Paramuricea clavata,39.46916031,1.480203562,9.550002681,0.027653305,0.008987714,0.124950726,Aquatic,Animalia,Sessile
Parashorea chinensis,140.6553858,1.544977155,40.98901439,0.008057685,0.009576425,0.452136618,Terrestrial,Plantae,Sessile
Parkinsonia aculeata,11.82512517,0.311474147,2.020408163,0.133234002,0.210046591,4.974929152,Terrestrial,Plantae,Sessile
Parolinia glabriuscula,10.49770976,0.252825742,2.621271077,0.195327142,0.093657343,0.7982049,Terrestrial,Plantae,Sessile
Paronychia jamesii,1.333252166,0.17102871,1,0.5,0.411818182,0.152740248,Terrestrial,Plantae,Sessile
Paronychia pulvinata,NA,NA,3.002506266,NA,NA,NA,Terrestrial,Plantae,Sessile
Pedicularis furbishiae,10.16752757,0.836720179,4.860304632,0.117420854,0.109093132,0.391668065,Terrestrial,Plantae,Sessile
Pentaclethra macroloba,112.9417795,1.146834252,79.63249039,0.037122228,0.033704825,0.529007767,Terrestrial,Plantae,Sessile
Periandra mediterranea,21.95564286,0.688256583,4.174603175,0.038416231,0.019043692,1.446651847,Terrestrial,Plantae,Sessile
Pernis apivorus,8.95121472,0.330798438,4,0.25,0.032027261,0.071947671,Terrestrial,Animalia,Mobile
Persoonia bargoensis,NA,NA,2.581652827,NA,NA,NA,Terrestrial,Plantae,Sessile
Persoonia glaucescens,35.81758788,0.996350509,3.15285253,0.00029059,0.011203156,1.490122576,Terrestrial,Plantae,Sessile
Petauroides volans,NA,NA,NA,NA,NA,NA,Terrestrial,Animalia,Mobile
Petaurus australis,6.931058744,0.416176915,3,0.333333333,0.09050103,0.13822737,Terrestrial,Animalia,Mobile
Petrophile pulchella,12.21977213,0.811891349,5.571428571,0.051175069,0.115921576,4.803815934,Terrestrial,Plantae,Sessile
Phacelia insularis,NA,NA,1,NA,NA,NA,Terrestrial,Plantae,Sessile
Phacochoerus aethiopicus,6.622947781,NA,3,0.075053517,0.022742983,0.28571503,Terrestrial,Animalia,Mobile
Nannopterum auritus,9.154275095,0.599647364,4,0.25,0.091550096,0.086206585,Terrestrial,Animalia,Mobile
Phascolarctos cinereus,NA,NA,2,NA,NA,NA,Terrestrial,Animalia,Mobile
Phaseolus lunatus,3.958706257,0.006692384,2,0.163731846,0.082511831,0.003791576,Terrestrial,Plantae,Sessile
Phoca vitulina,NA,NA,NA,NA,NA,NA,Aquatic,Animalia,Mobile
Phocarctos hookeri,16.89353314,1.353801784,2,0.0848395,0.037419504,0.860637273,Aquatic,Animalia,Mobile
Phoebastria immutabilis,20.5053143,0.876691292,9,0.111111111,0.017635827,0.021913151,Terrestrial,Animalia,Mobile
Phrynosoma cornutum,3.880366871,0.295959429,3,0.333333333,0.227022141,0.15468198,Terrestrial,Animalia,Mobile
Phyllanthus emblica,261.2230113,1.140687074,17.60910439,0.00947965,0.10424704,1.246978031,Terrestrial,Plantae,Sessile
Phyllanthus indofischeri,46.6142938,1.348287024,15.95573759,0.007318541,0.05756291,3.11618442,Terrestrial,Plantae,Sessile
Physaria ovalifolia,1.74731091,0.259906668,1,0.5,0.393928571,0.240479214,Terrestrial,Plantae,Sessile
Physeter catodon,31.94341682,0.745462526,4.923107101,0.404187389,0.024405302,0.58382216,Aquatic,Animalia,Mobile
Phytelephas seemannii,34.99393575,2.018419873,14.84260524,0.022618224,0.040913648,1.455299628,Terrestrial,Plantae,Sessile
Picea engelmannii,189.2221436,2.772291776,44.97370315,0.010769295,0.018228562,5.207645925,Terrestrial,Plantae,Sessile
Picea glehnii,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Picea jezoensis,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Picoides borealis,5.034009509,0.784629406,2,0.142857143,0.055476783,0.730401104,Terrestrial,Animalia,Mobile
Picris hieracioides,11.91791875,NA,3.678714859,0.199499732,0.137573663,0.083852968,Terrestrial,Plantae,Sessile
Pimephales promelas,1.039643815,0.018122463,1,0.247061966,0.578016529,0.061725412,Aquatic,Animalia,Mobile
Pinguicula alpina,19.52609431,1.134914458,10.23771661,0.054114443,0.039516451,0.499220233,Terrestrial,Plantae,Sessile
Pinguicula ionantha,5.685793907,0.364147882,2.24083254,0.146337863,0.13889807,0.57032198,Terrestrial,Plantae,Sessile
Pinguicula villosa,6.569187469,0.445716778,5.02335205,0.088741615,0.069419685,0.121233629,Terrestrial,Plantae,Sessile
Pinguicula vulgaris,17.97283801,1.12563383,10.21297806,0.063761308,0.058554645,0.701880288,Terrestrial,Plantae,Sessile
Pinus fenzeliana,182.5693187,1.719826236,57.64631293,0.026699309,0.003049103,0.007315112,Terrestrial,Plantae,Sessile
Pinus flexilis,194.2140953,2.618018976,43.32675969,0.015133689,0.011411335,1.331025007,Terrestrial,Plantae,Sessile
Pinus jeffreyi,NA,NA,1,NA,NA,NA,Terrestrial,Plantae,Sessile
Pinus lambertiana,38.24971983,1.210931294,21.65760418,0.031373176,0.029885924,1.001441118,Terrestrial,Plantae,Sessile
Pinus maximartinezii,66.33054748,2.289960553,52.49093331,0.021638126,0.114528968,1.924333748,Terrestrial,Plantae,Sessile
Pinus nigra,14.55642568,1.362005346,7.992031873,0.123971957,0.144064985,5.15612435,Terrestrial,Plantae,Sessile
Pinus ponderosa,348.3197732,1.018729671,16.7090411,0.160640496,0.00808726,0.011015264,Terrestrial,Plantae,Sessile
Pinus strobus,124.6566493,2.199478008,74.75282676,0.05908391,0.051519428,1.090166187,Terrestrial,Plantae,Sessile
Pinus sylvestris,14.57988026,0.359184398,11.79723502,0.046283434,0.036025847,0.513173476,Terrestrial,Plantae,Sessile
Plantago coronopus,3.217866915,0.408820533,2.048497204,0.17081337,0.138205833,0.435018633,Terrestrial,Plantae,Sessile
Plantago lanceolata,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Plantago media,40.38978917,0.31361265,7.664991417,0.134703394,0.065464868,0.013152227,Terrestrial,Plantae,Sessile
Platanthera hookeri,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Platygyra daedalea,NA,NA,NA,NA,NA,NA,Aquatic,Animalia,Sessile
Platygyra sinensis,NA,NA,NA,NA,NA,NA,Aquatic,Animalia,Sessile
Plexaura,NA,NA,NA,NA,NA,NA,Aquatic,Animalia,Sessile
Poa alpina,1.944320657,0.909742446,2.240694789,0.373701539,0.016217285,0.760157004,Terrestrial,Plantae,Sessile
Pocillopora damicornis,NA,NA,NA,NA,NA,NA,Aquatic,Animalia,Sessile
Podocnemis expansa,26.63427751,0.640024715,3.785076758,0.092354487,0.086582828,0.35704963,Aquatic,Animalia,Mobile
Podocnemis lewyana,7.036317237,0.381225232,4,0.2,0.154171523,0.185933602,Aquatic,Animalia,Mobile
Podococcus barteri,116.7744337,0.855326888,17.69230769,0.075876551,0.01207129,0.865840389,Terrestrial,Plantae,Sessile
Podophyllum peltatum,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Poecilia reticulata,8.855213938,1.066973589,4.386243386,0.041577854,0.055114915,1.358983658,Aquatic,Animalia,Mobile
Pongo abelii,NA,NA,16,NA,NA,NA,Terrestrial,Animalia,Mobile
Porites astreoides,NA,NA,NA,NA,NA,NA,Aquatic,Animalia,Sessile
Porites harrisoni,NA,NA,NA,NA,NA,NA,Aquatic,Animalia,Sessile
Potentilla anserina,22.83880082,0.330536857,4.929893521,0.361886807,0.026520888,0.022749754,Terrestrial,Plantae,Sessile
Potentilla recta,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Presbytis thomasi,13.25700481,0.986777078,5,0,0,0.322981903,Terrestrial,Animalia,Mobile
Primula elatior,25.63215883,1.159608238,5.097205538,0.16331328,0.116046473,0.723101735,Terrestrial,Plantae,Sessile
Primula farinosa,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Prioria copaifera,16.88536087,0.14912211,8.172364637,0.122341579,0.027624722,0.072977664,Terrestrial,Plantae,Sessile
Boloria eunomia,5,NA,5,0.199111232,0.079100381,0,Terrestrial,Animalia,Mobile
Propithecus edwardsi,17.0050599,0.522164836,3.545595054,0.297479203,0.053894292,0.244532593,Terrestrial,Animalia,Mobile
Propithecus verreauxi,21.96254613,0.284968529,7,0.125,0.007208384,0.03084953,Terrestrial,Animalia,Mobile
Prosartes lanuginosa,10.95681279,0.595739306,4.551177869,0.074895884,0.026914449,0.095541884,Terrestrial,Plantae,Sessile
Prosopis glandulosa,31.18981699,0.317308741,9.412528726,0.032277242,0.037870589,1.011552847,Terrestrial,Plantae,Sessile
Prosopis laevigata,192.6738773,0.563138343,8.01754386,0.135795348,0.005089881,1.097062744,Terrestrial,Plantae,Sessile
Prunus africana,204.6083341,0.149560169,44.06101196,0.022588217,0.114612299,0.068682069,Terrestrial,Plantae,Sessile
Prunus serotina,3116.856714,0.497232873,9.818181818,0.085911315,0.044379017,0.018512538,Terrestrial,Plantae,Sessile
Pseudocheirus peregrinus,NA,NA,NA,NA,NA,NA,Terrestrial,Animalia,Mobile
Pseudomisopates rivas-martinezii,4.102039801,0.6114803,2.930874686,0.303583295,0.075680257,0.404171693,Terrestrial,Plantae,Sessile
Pseudomitrocereus fulviceps,NA,NA,303,NA,NA,NA,Terrestrial,Plantae,Sessile
Pseudophoenix sargentii,88.67266139,0.915147719,114.5612692,0.017312717,0.012093655,0.317835214,Terrestrial,Plantae,Sessile
Pterocarpus angolensis,139.8801662,1.679658913,5.545454545,0.103721701,0.003445972,0.109724318,Terrestrial,Plantae,Sessile
Pterocarya rhoifolia,NA,NA,1,NA,NA,NA,Terrestrial,Plantae,Sessile
Pterygophora californica,NA,0,1,NA,NA,0,Aquatic,Chromalveolata,Sessile
Ptychosperma macarthurii,58.54438879,1.098738889,4.558718861,0.10114577,0.023824868,1.776988936,Terrestrial,Plantae,Sessile
Puffinus auricularis,14.63673528,0.58432623,5,0.166666667,0.024328604,0.094610038,Terrestrial,Animalia,Mobile
Purshia subintegra,10.13332457,0.379958636,7.3554329,0.048385703,0.331227252,9.670595069,Terrestrial,Plantae,Sessile
Pygoscelis adeliae,8.064282429,0.217269453,2,0.5,0.164150036,0.276979533,Aquatic,Animalia,Mobile
Pylodictis olivaris,16.57940303,0.003328234,6.783809515,0.090891956,0.090880184,0.611024779,Aquatic,Animalia,Mobile
Quercus mongolica,27.04725603,1.0008746,11.96596702,0.05800985,0.030119668,1.623546491,Terrestrial,Plantae,Sessile
Quercus rugosa,96.58158021,1.648669575,27.80431543,0.0351706,0.009757499,0.917079627,Terrestrial,Plantae,Sessile
Ramonda myconi,41.72191929,1.167245861,7.683440122,0.068421218,0.026444509,0.686219907,Terrestrial,Plantae,Sessile
Rana temporaria,NA,NA,NA,NA,NA,NA,Aquatic,Animalia,Mobile
Rangifer tarandus,6.940075305,NA,3,0.062223832,0.023494505,0.711478862,Terrestrial,Animalia,Mobile
Ranunculus acris,3.204822724,0.179763095,2,0.233513876,0.153171673,0.211049633,Terrestrial,Plantae,Sessile
Ranunculus peltatus,2.272959326,0.304341638,2.141665074,0.20652216,0.184773099,0.350831079,Terrestrial,Plantae,Sessile
Ratibida columnifera,1.086847633,0.067389691,1,0.5,1.350517241,0.134031876,Terrestrial,Plantae,Sessile
Rattus fuscipes,2.038727935,0.058617083,2,0.261996522,0.487752372,0.227683615,Terrestrial,Animalia,Mobile
Rhizophora mangle,41.48466071,0.403459229,6.755167514,0.03115452,0.096598453,0.45179644,Terrestrial,Plantae,Sessile
Rhododendron maximum,4.350013803,0.201929978,1,0.111111111,0.004129053,0.122842693,Terrestrial,Plantae,Sessile
Rhododendron ponticum,34.72475638,0.418611741,11,0.016666667,0.006807505,5.9642266,Terrestrial,Plantae,Sessile
Rhopalostylis sapida,142.7587071,0.571325151,61.63984378,0.000864222,0.082640254,1.919676348,Terrestrial,Plantae,Sessile
Rhus aromatica,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Rhus copallinum,0.01486,0.47454267,3.922363504,0.553575945,0.008093063,0.011432893,Terrestrial,Plantae,Sessile
Rorippa palustris,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Rosa canina,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Rosa multiflora,1.981526665,0.135682356,4.488372093,0.058889669,0.334706756,8.727442358,Terrestrial,Plantae,Sessile
Rosmarinus tomentosus,48.75107058,1.225408374,5.649635036,0.060251636,0.037220967,0.281101224,Terrestrial,Plantae,Sessile
Roupala montana,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Rourea induta,219.2880044,1.361586976,20.15144766,0.032180604,0.001860208,0.235142753,Terrestrial,Plantae,Sessile
Rubus praecox,NA,NA,3.037344398,NA,NA,NA,Terrestrial,Plantae,Sessile
Rubus saxatilis,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Rubus ursinus,NA,NA,3.028806584,NA,NA,NA,Terrestrial,Plantae,Sessile
Rumex rupestris,8.151249441,0.374352764,2.557291587,0.105129159,0.016021035,0.043768638,Terrestrial,Plantae,Sessile
Rutidosis leptorrhynchoides,27.01192991,0.612147268,4.156336505,0.148108237,0.111644954,0.18065665,Terrestrial,Plantae,Sessile
Rutilus rutilus,6.001950137,NA,4,0.099993509,0.095676353,0.253614632,Aquatic,Animalia,Mobile
Sabal yapa,88.02893684,1.691942725,61.7764341,0.006866723,0.034215904,0.625586036,Terrestrial,Plantae,Sessile
Saguinus fuscicollis,4.999149762,0.208564143,2,0.093908247,0.103471045,0.270647496,Terrestrial,Animalia,Mobile
Saguinus imperator,NA,NA,NA,NA,NA,NA,Terrestrial,Animalia,Mobile
Salix arctica,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Salmo trutta,NA,NA,NA,NA,NA,NA,Aquatic,Animalia,Mobile
Salvelinus confluentus,6.370882936,0.296900969,5.061965699,0.141726591,0.094634776,0.122453852,Aquatic,Animalia,Mobile
Salvelinus malma,10.10749485,NA,7,0.027777778,0.034985271,0.279766032,Aquatic,Animalia,Mobile
Sanicula europaea,19.25632892,0.647281348,6.369265487,0.087699208,0.0249495,0.050084498,Terrestrial,Plantae,Sessile
Santolina melidensis,14.55797335,0.742494361,4.295684114,0.067366488,0.019533695,0.092212432,Terrestrial,Plantae,Sessile
Saponaria bellidifolia,62.43989998,0.920687919,6.278695452,0.127103154,0.027390856,0.196275205,Terrestrial,Plantae,Sessile
Sarcocapnos baetica,58.75617144,1.022080535,3.415483494,0.266896233,0.053955016,0.451608288,Terrestrial,Plantae,Sessile
Sarcocapnos enneaphylla,3.562733598,0.418977433,2.093792726,0.47851014,0.160001635,0.439771104,Terrestrial,Plantae,Sessile
Sarcocapnos pulcherrima,90.64292145,1.087389275,5.952100483,0.292188285,0.018650373,0.070032889,Terrestrial,Plantae,Sessile
Sardina pilchardus,2.525933215,0.443744832,2.333333333,0.067219451,0.113853368,0.528650056,Aquatic,Animalia,Mobile
Sarracenia purpurea,28.68954607,0.562826285,12.89276044,0.046864145,0.020464097,0.409455431,Terrestrial,Plantae,Sessile
Saussurea medusa,6.574122496,0.567449311,7.025547019,0.090353083,0.073801184,0.353059371,Terrestrial,Plantae,Sessile
Saxifraga aizoides,45.23051207,1.198231477,2.013171226,0.098093289,0.070846881,0.560221328,Terrestrial,Plantae,Sessile
Saxifraga cotyledon,6.862632091,1.018725928,1,0.21926905,0.158683106,4.979744458,Terrestrial,Plantae,Sessile
Saxifraga tridactylites,NA,NA,1,NA,NA,NA,Terrestrial,Plantae,Sessile
Scabiosa columbaria,7.03603185,0.168125398,6.366812227,0.085825044,0.07265276,0,Terrestrial,Plantae,Sessile
Scaphium macropodum,174.3350949,1.112539895,104.9331303,0.002793794,0.003212497,2.489389975,Terrestrial,Plantae,Sessile
Sceloporus arenicolus,3.591494351,0.257276404,2,0.5,0.397126382,0.259529895,Terrestrial,Animalia,Mobile
Sceloporus grammicus,4.746747172,0.670316953,2.291989664,0.248382315,0.123934098,0.632681518,Terrestrial,Animalia,Mobile
Sceloporus mucronatus,4.089619247,0.785603727,2.353179973,0.17498451,0.318702101,0.176770309,Terrestrial,Animalia,Mobile
Scolytus ventralis,4.969615106,0.41772259,4,0.25,0.237707187,0.256500696,Terrestrial,Animalia,Mobile
Scorzonera hispanica,15.09039243,0.702745493,6.16194332,0.115234195,0.091233875,0.173009154,Terrestrial,Plantae,Sessile
Senecio filaginoides,5.093853284,0.375218605,3.06620624,0.312654546,0.133806399,0.50867026,Terrestrial,Plantae,Sessile
Serapias cordigera,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Setophaga cerulea,1.812773415,0.253757099,1,0.5,0.405116731,0.248720962,Terrestrial,Animalia,Mobile
Shorea acuminata,126.6399424,1.217341174,57.18865091,0.004293334,0.00237848,1.410935164,Terrestrial,Plantae,Sessile
Shorea bracteolata,134.1263928,1.107281445,71.94588725,0.004127798,0.002544261,1.505625371,Terrestrial,Plantae,Sessile
Shorea leprosula,75.50909537,1.605988917,41.46836962,0.003984152,0.049941349,1.813186213,Terrestrial,Plantae,Sessile
Shorea maxwelliana,NA,1.109161677,115.2579608,NA,NA,NA,Terrestrial,Plantae,Sessile
Shorea ovalis,NA,1.188109855,83.80443747,NA,NA,NA,Terrestrial,Plantae,Sessile
Sigmodon hispidus,2.705672107,0.360514537,2,0.163807591,0.282571759,0.43954972,Terrestrial,Animalia,Mobile
Silene acaulis,27.80694745,0.950503226,8.999664016,0.018226315,0.010125264,0.594374362,Terrestrial,Plantae,Sessile
Silene douglasii,53.6329811,0.392122013,4.10828827,0.175761183,0.023291174,0.022704255,Terrestrial,Plantae,Sessile
Silene regia,7.39430301,0.599833475,3.259730103,0.142140346,0.178437237,0.168313272,Terrestrial,Plantae,Sessile
Silene tatarica,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Solidago mollis,1.048600092,0.025066423,1,0.5,0.835166667,0.037743989,Terrestrial,Plantae,Sessile
Sonchus pustulatus,21.05753581,0.85118651,4.653875267,0.065836614,0.007231977,0.31425948,Terrestrial,Plantae,Sessile
Sparisoma viride,NA,NA,NA,NA,NA,NA,Aquatic,Animalia,Mobile
Spathoglottis plicata,18.11576213,0.552476461,2.251959891,0.07827042,0.02659837,0.672185264,Terrestrial,Plantae,Sessile
Spermophilus dauricus,3.867970827,NA,2,0.141473936,0.072158608,0.366309561,Terrestrial,Animalia,Mobile
Sphaeralcea coccinea,1.201835103,0.107943645,1,0.5,0.427857143,0.097011913,Terrestrial,Plantae,Sessile
Spongia graminea,23.75280184,1.074878826,6.019535434,0.045212076,0.021518778,0.309071915,Aquatic,Animalia,Sessile
Sporobolus heterolepis,4.699858399,0.815808627,8.077100115,0.920495671,0.006079191,1.344373386,Terrestrial,Plantae,Sessile
Stellifer illecebrosus,4.210883926,0.77111649,3,0.125,0.086163423,0.473843976,Aquatic,Animalia,Mobile
Stenaria nigricans,1.087085952,0.047677623,1,0.5,0.730517241,0.06354347,Terrestrial,Plantae,Sessile
Stenocereus eruca,NA,0.039268784,10.52380952,NA,NA,1.433771212,Terrestrial,Plantae,Sessile
Sterna hirundo,9.717647838,0.682796206,1,0.2,0.103441818,0.683299919,Terrestrial,Animalia,Mobile
Sternotherus odoratus,NA,NA,NA,NA,NA,NA,Aquatic,Animalia,Mobile
Strix occidentalis,6.265530366,0.311829845,2,0.333333333,0.081750789,0.413735014,Terrestrial,Animalia,Mobile
Stryphnodendron microstachyum,78.60318851,2.009191669,78.26510088,0.064734604,0.064604385,4.473356968,Terrestrial,Plantae,Sessile
Styrax obassis,146.7190862,1.399787099,57.40709024,0.11758631,0.111352965,1.380826836,Terrestrial,Plantae,Sessile
Sus scrofa,6.371309843,1.188100193,3.562792933,0.090257213,0.096805369,0.477124449,Terrestrial,Animalia,Mobile
Swallenia alexandrae,29.10380477,0.601210217,4,0.25,0.03236914,0.038440458,Terrestrial,Plantae,Sessile
Swietenia macrophylla,210.6836503,1.285244465,19.10808824,0.018912846,0.057795081,1.075206273,Terrestrial,Plantae,Sessile
Syngonanthus nitens,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Syzygium jambos,23.09704114,1.172859754,9.936507937,0.07460065,0.082343056,1.089998362,Terrestrial,Plantae,Sessile
Tamias striatus,NA,NA,NA,NA,NA,NA,Terrestrial,Animalia,Mobile
Tamiasciurus hudsonicus,2.910078559,0.759420287,1,0.125,0.06943585,0.734505478,Terrestrial,Animalia,Mobile
